Região;Código UF;UF;Código IBGE;Município;Magreza;;Magreza;;Eutrofia;;Sobrepeso;;Obesidade;;Obesidade Grave;;Total
NORDESTE;29;BA;292225;MUQUEM DE SAO FRANCISCO;9;1.11%;35;4.31%;603;74.26%;102;12.56%;57;7.02%;6;0.74%;812
NORDESTE;29;BA;292230;MURITIBA;6;0.78%;24;3.11%;583;75.62%;104;13.49%;41;5.32%;13;1.69%;771
NORDESTE;29;BA;292240;MUTUIPE;7;0.7%;25;2.49%;685;68.09%;189;18.79%;83;8.25%;17;1.69%;1.006
NORDESTE;29;BA;292250;NAZARE;12;1.25%;28;2.91%;616;63.97%;187;19.42%;92;9.55%;28;2.91%;963
NORDESTE;29;BA;292260;NILO PECANHA;7;0.73%;28;2.91%;655;68.16%;197;20.5%;63;6.56%;11;1.14%;961
NORDESTE;29;BA;292265;NORDESTINA;10;1.19%;37;4.42%;582;69.45%;148;17.66%;41;4.89%;20;2.39%;838
NORDESTE;29;BA;292270;NOVA CANAA;8;0.88%;23;2.52%;642;70.32%;143;15.66%;80;8.76%;17;1.86%;913
NORDESTE;29;BA;292273;NOVA FATIMA;6;1.04%;21;3.64%;384;66.55%;101;17.5%;51;8.84%;14;2.43%;577
NORDESTE;29;BA;292275;NOVA IBIA;3;0.54%;17;3.07%;377;68.17%;94;17%;55;9.95%;7;1.27%;553
NORDESTE;29;BA;292280;NOVA ITARANA;3;0.68%;20;4.56%;312;71.07%;75;17.08%;24;5.47%;5;1.14%;439
NORDESTE;29;BA;292285;NOVA REDENCAO;8;2.2%;28;7.69%;243;66.76%;58;15.93%;22;6.04%;5;1.37%;364
NORDESTE;29;BA;292290;NOVA SOURE;18;1.2%;74;4.94%;1.047;69.94%;227;15.16%;108;7.21%;23;1.54%;1.497
NORDESTE;29;BA;292300;NOVA VICOSA;15;0.81%;69;3.73%;1.205;65.06%;361;19.49%;165;8.91%;37;2%;1.852
NORDESTE;29;BA;292303;NOVO HORIZONTE;10;1.14%;39;4.43%;589;66.93%;170;19.32%;59;6.7%;13;1.48%;880
NORDESTE;29;BA;292305;NOVO TRIUNFO;1;0.56%;9;5.06%;124;69.66%;29;16.29%;12;6.74%;3;1.69%;178
NORDESTE;29;BA;292310;OLINDINA;19;1.26%;59;3.91%;1.039;68.9%;247;16.38%;114;7.56%;30;1.99%;1.508
NORDESTE;29;BA;292320;OLIVEIRA DOS BREJINHOS;26;1.82%;78;5.45%;933;65.2%;245;17.12%;120;8.39%;29;2.03%;1.431
NORDESTE;29;BA;292330;OURICANGAS;3;0.59%;26;5.15%;324;64.16%;89;17.62%;48;9.5%;15;2.97%;505
NORDESTE;29;BA;292335;OUROLANDIA;13;1.1%;44;3.73%;788;66.78%;207;17.54%;100;8.47%;28;2.37%;1.180
NORDESTE;29;BA;292340;PALMAS DE MONTE ALTO;30;1.88%;72;4.51%;1.120;70.09%;255;15.96%;96;6.01%;25;1.56%;1.598
NORDESTE;29;BA;292350;PALMEIRAS;5;0.57%;34;3.88%;556;63.47%;185;21.12%;83;9.47%;13;1.48%;876
NORDESTE;29;BA;292360;PARAMIRIM;9;1.65%;23;4.21%;369;67.58%;101;18.5%;38;6.96%;6;1.1%;546
NORDESTE;29;BA;292370;PARATINGA;26;1.43%;92;5.05%;1.305;71.59%;260;14.26%;109;5.98%;31;1.7%;1.823
NORDESTE;29;BA;292380;PARIPIRANGA;35;2.13%;95;5.79%;1.174;71.54%;251;15.3%;72;4.39%;14;0.85%;1.641
NORDESTE;29;BA;292390;PAU BRASIL;11;1.47%;24;3.2%;494;65.95%;133;17.76%;72;9.61%;15;2%;749
NORDESTE;29;BA;292400;PAULO AFONSO;39;1.55%;89;3.53%;1.526;60.58%;503;19.97%;279;11.08%;83;3.29%;2.519
NORDESTE;29;BA;292405;PE DE SERRA;5;2.22%;12;5.33%;141;62.67%;32;14.22%;31;13.78%;4;1.78%;225
NORDESTE;29;BA;292410;PEDRAO;4;1.03%;29;7.47%;261;67.27%;48;12.37%;38;9.79%;8;2.06%;388
NORDESTE;29;BA;292420;PEDRO ALEXANDRE;7;0.48%;50;3.45%;1.017;70.23%;255;17.61%;100;6.91%;19;1.31%;1.448
NORDESTE;29;BA;292430;PIATA;14;1.34%;35;3.36%;744;71.4%;200;19.19%;40;3.84%;9;0.86%;1.042
NORDESTE;29;BA;292440;PILAO ARCADO;20;2.13%;58;6.19%;654;69.8%;156;16.65%;36;3.84%;13;1.39%;937
NORDESTE;29;BA;292450;PINDAI;4;1.07%;14;3.75%;253;67.83%;70;18.77%;23;6.17%;9;2.41%;373
NORDESTE;29;BA;292460;PINDOBACU;7;0.58%;40;3.3%;830;68.43%;211;17.39%;103;8.49%;22;1.81%;1.213
NORDESTE;29;BA;292465;PINTADAS;14;1.72%;29;3.56%;557;68.43%;138;16.95%;68;8.35%;8;0.98%;814
NORDESTE;29;BA;292467;PIRAI DO NORTE;9;0.86%;32;3.04%;739;70.31%;163;15.51%;89;8.47%;19;1.81%;1.051
NORDESTE;29;BA;292470;PIRIPA;5;0.91%;17;3.09%;389;70.6%;99;17.97%;35;6.35%;6;1.09%;551
NORDESTE;29;BA;292480;PIRITIBA;8;0.64%;46;3.69%;867;69.47%;219;17.55%;91;7.29%;17;1.36%;1.248
NORDESTE;29;BA;292490;PLANALTINO;2;0.47%;12;2.81%;305;71.43%;70;16.39%;32;7.49%;6;1.41%;427
NORDESTE;29;BA;292500;PLANALTO;22;1.13%;68;3.5%;1.395;71.87%;308;15.87%;122;6.29%;26;1.34%;1.941
NORDESTE;29;BA;292510;POCOES;27;1.17%;87;3.78%;1.612;70.09%;389;16.91%;162;7.04%;23;1%;2.300
NORDESTE;29;BA;292520;POJUCA;19;1.18%;64;3.96%;1.091;67.51%;232;14.36%;168;10.4%;42;2.6%;1.616
NORDESTE;29;BA;292525;PONTO NOVO;9;0.9%;36;3.59%;676;67.47%;209;20.86%;60;5.99%;12;1.2%;1.002
NORDESTE;29;BA;292530;PORTO SEGURO;130;1.79%;372;5.12%;5.039;69.39%;1.132;15.59%;491;6.76%;98;1.35%;7.262
NORDESTE;29;BA;292540;POTIRAGUA;3;1.57%;5;2.62%;127;66.49%;36;18.85%;18;9.42%;2;1.05%;191
NORDESTE;29;BA;292550;PRADO;23;1.42%;72;4.44%;1.081;66.69%;262;16.16%;144;8.88%;39;2.41%;1.621
NORDESTE;29;BA;292560;PRESIDENTE DUTRA;6;0.57%;41;3.91%;727;69.3%;184;17.54%;67;6.39%;24;2.29%;1.049
NORDESTE;29;BA;292570;PRESIDENTE JANIO QUADROS;12;1.68%;60;8.39%;533;74.55%;77;10.77%;29;4.06%;4;0.56%;715
NORDESTE;29;BA;292575;PRESIDENTE TANCREDO NEVES;27;1.18%;82;3.6%;1.584;69.5%;403;17.68%;158;6.93%;25;1.1%;2.279
NORDESTE;29;BA;292580;QUEIMADAS;6;0.95%;23;3.65%;347;55.08%;166;26.35%;73;11.59%;15;2.38%;630
NORDESTE;29;BA;292590;QUIJINGUE;18;1.42%;58;4.56%;870;68.45%;220;17.31%;88;6.92%;17;1.34%;1.271
NORDESTE;29;BA;292593;QUIXABEIRA;0;-;4;2.76%;98;67.59%;29;20%;14;9.66%;0;-;145
NORDESTE;29;BA;292595;RAFAEL JAMBEIRO;15;1.12%;60;4.47%;903;67.24%;251;18.69%;90;6.7%;24;1.79%;1.343
NORDESTE;29;BA;292600;REMANSO;24;1.31%;63;3.44%;1.222;66.63%;326;17.78%;161;8.78%;38;2.07%;1.834
NORDESTE;29;BA;292610;RETIROLANDIA;14;1.43%;46;4.68%;623;63.44%;179;18.23%;105;10.69%;15;1.53%;982
NORDESTE;29;BA;292620;RIACHAO DAS NEVES;49;1.89%;107;4.14%;1.793;69.33%;427;16.51%;170;6.57%;40;1.55%;2.586
NORDESTE;29;BA;292630;RIACHAO DO JACUIPE;35;1.86%;102;5.41%;1.219;64.63%;332;17.6%;155;8.22%;43;2.28%;1.886
NORDESTE;29;BA;292640;RIACHO DE SANTANA;15;0.92%;69;4.24%;1.160;71.21%;264;16.21%;105;6.45%;16;0.98%;1.629
NORDESTE;29;BA;292650;RIBEIRA DO AMPARO;22;1.65%;64;4.79%;947;70.94%;206;15.43%;89;6.67%;7;0.52%;1.335
NORDESTE;29;BA;292660;RIBEIRA DO POMBAL;32;1.31%;119;4.87%;1.659;67.85%;421;17.22%;183;7.48%;31;1.27%;2.445
NORDESTE;29;BA;292665;RIBEIRAO DO LARGO;12;1.49%;24;2.97%;583;72.24%;118;14.62%;57;7.06%;13;1.61%;807
NORDESTE;29;BA;292670;RIO DE CONTAS;4;0.55%;28;3.83%;503;68.81%;128;17.51%;54;7.39%;14;1.92%;731
NORDESTE;29;BA;292680;RIO DO ANTONIO;4;0.98%;28;6.88%;294;72.24%;56;13.76%;22;5.41%;3;0.74%;407
NORDESTE;29;BA;292690;RIO DO PIRES;13;1.57%;44;5.3%;536;64.58%;153;18.43%;73;8.8%;11;1.33%;830
NORDESTE;29;BA;292700;RIO REAL;20;0.98%;74;3.63%;1.388;68.07%;340;16.67%;171;8.39%;46;2.26%;2.039
NORDESTE;29;BA;292710;RODELAS;3;0.46%;35;5.35%;457;69.88%;92;14.07%;51;7.8%;16;2.45%;654
NORDESTE;29;BA;292720;RUY BARBOSA;23;1.59%;52;3.59%;993;68.53%;236;16.29%;121;8.35%;24;1.66%;1.449
NORDESTE;29;BA;292730;SALINAS DA MARGARIDA;18;1.42%;57;4.51%;748;59.18%;252;19.94%;147;11.63%;42;3.32%;1.264
NORDESTE;29;BA;292740;SALVADOR;436;1.01%;1.605;3.73%;26.717;62.05%;8.176;18.99%;4.520;10.5%;1.605;3.73%;43.059
NORDESTE;29;BA;292750;SANTA BARBARA;16;1.01%;57;3.61%;1.106;70.04%;261;16.53%;112;7.09%;27;1.71%;1.579
NORDESTE;29;BA;292760;SANTA BRIGIDA;14;1.05%;45;3.36%;937;69.98%;223;16.65%;95;7.09%;25;1.87%;1.339
NORDESTE;29;BA;292770;SANTA CRUZ CABRALIA;24;1.2%;57;2.85%;1.391;69.55%;325;16.25%;158;7.9%;45;2.25%;2.000
NORDESTE;29;BA;292780;SANTA CRUZ DA VITORIA;1;0.8%;9;7.2%;84;67.2%;16;12.8%;11;8.8%;4;3.2%;125
NORDESTE;29;BA;292790;SANTA INES;12;2%;26;4.33%;385;64.17%;101;16.83%;64;10.67%;12;2%;600
NORDESTE;29;BA;292805;SANTA LUZIA;12;2.84%;11;2.6%;280;66.19%;85;20.09%;28;6.62%;7;1.65%;423
NORDESTE;29;BA;292810;SANTA MARIA DA VITORIA;27;1.32%;97;4.74%;1.466;71.65%;295;14.42%;133;6.5%;28;1.37%;2.046
NORDESTE;29;BA;292840;SANTA RITA DE CASSIA;13;0.7%;92;4.97%;1.393;75.3%;228;12.32%;112;6.05%;12;0.65%;1.850
NORDESTE;29;BA;292850;SANTA TERESINHA;3;0.57%;29;5.5%;365;69.26%;78;14.8%;46;8.73%;6;1.14%;527
NORDESTE;29;BA;292800;SANTALUZ;24;1.8%;68;5.09%;895;66.99%;212;15.87%;111;8.31%;26;1.95%;1.336
NORDESTE;29;BA;292820;SANTANA;20;1.58%;50;3.96%;900;71.32%;195;15.45%;75;5.94%;22;1.74%;1.262
NORDESTE;29;BA;292830;SANTANOPOLIS;7;1%;42;6.03%;477;68.44%;118;16.93%;43;6.17%;10;1.43%;697
NORDESTE;29;BA;292860;SANTO AMARO;29;1.07%;91;3.37%;1.718;63.56%;484;17.91%;278;10.28%;103;3.81%;2.703
NORDESTE;29;BA;292870;SANTO ANTONIO DE JESUS;57;1.37%;162;3.89%;2.643;63.44%;762;18.29%;420;10.08%;122;2.93%;4.166
NORDESTE;29;BA;292880;SANTO ESTEVAO;9;1.52%;20;3.37%;376;63.41%;110;18.55%;61;10.29%;17;2.87%;593
NORDESTE;29;BA;292890;SAO DESIDERIO;24;0.99%;99;4.07%;1.768;72.7%;347;14.27%;164;6.74%;30;1.23%;2.432
NORDESTE;29;BA;292895;SAO DOMINGOS;6;1.38%;14;3.23%;285;65.67%;88;20.28%;38;8.76%;3;0.69%;434
NORDESTE;29;BA;292910;SAO FELIPE;7;0.62%;29;2.55%;738;64.85%;227;19.95%;110;9.67%;27;2.37%;1.138
NORDESTE;29;BA;292900;SAO FELIX;9;1.93%;10;2.15%;298;63.95%;91;19.53%;47;10.09%;11;2.36%;466
NORDESTE;29;BA;292905;SAO FELIX DO CORIBE;8;1.1%;32;4.4%;490;67.4%;122;16.78%;64;8.8%;11;1.51%;727
NORDESTE;29;BA;292920;SAO FRANCISCO DO CONDE;24;0.99%;55;2.28%;830;34.35%;247;10.22%;151;6.25%;1.109;45.9%;2.416
NORDESTE;29;BA;292925;SAO GABRIEL;19;1.41%;74;5.47%;875;64.72%;273;20.19%;96;7.1%;15;1.11%;1.352
NORDESTE;29;BA;292930;SAO GONCALO DOS CAMPOS;27;1.81%;54;3.63%;979;65.79%;276;18.55%;130;8.74%;22;1.48%;1.488
NORDESTE;29;BA;292935;SAO JOSE DA VITORIA;0;-;1;1.1%;56;61.54%;16;17.58%;12;13.19%;6;6.59%;91
NORDESTE;29;BA;292937;SAO JOSE DO JACUIPE;2;0.87%;3;1.3%;177;76.96%;35;15.22%;11;4.78%;2;0.87%;230
NORDESTE;29;BA;292940;SAO MIGUEL DAS MATAS;7;1%;25;3.57%;449;64.14%;121;17.29%;87;12.43%;11;1.57%;700
NORDESTE;29;BA;292950;SAO SEBASTIAO DO PASSE;26;1.36%;70;3.66%;1.214;63.56%;344;18.01%;197;10.31%;59;3.09%;1.910
NORDESTE;29;BA;292960;SAPEACU;14;1.12%;47;3.77%;796;63.78%;230;18.43%;128;10.26%;33;2.64%;1.248
NORDESTE;29;BA;292970;SATIRO DIAS;12;1.57%;36;4.71%;540;70.59%;116;15.16%;53;6.93%;8;1.05%;765
NORDESTE;29;BA;292975;SAUBARA;18;2.32%;33;4.25%;482;62.11%;150;19.33%;70;9.02%;23;2.96%;776
NORDESTE;29;BA;292980;SAUDE;5;1.07%;23;4.91%;327;69.87%;69;14.74%;33;7.05%;11;2.35%;468
NORDESTE;29;BA;292990;SEABRA;15;0.76%;82;4.15%;1.376;69.64%;342;17.31%;130;6.58%;31;1.57%;1.976
NORDESTE;29;BA;293000;SEBASTIAO LARANJEIRAS;4;1.1%;12;3.31%;230;63.54%;67;18.51%;39;10.77%;10;2.76%;362
NORDESTE;29;BA;293010;SENHOR DO BONFIM;40;1.31%;129;4.23%;2.064;67.65%;509;16.68%;265;8.69%;44;1.44%;3.051
NORDESTE;29;BA;293020;SENTO SE;15;1.26%;34;2.86%;829;69.78%;202;17%;92;7.74%;16;1.35%;1.188
NORDESTE;29;BA;293015;SERRA DO RAMALHO;43;1.72%;134;5.37%;1.744;69.9%;393;15.75%;155;6.21%;26;1.04%;2.495
NORDESTE;29;BA;293030;SERRA DOURADA;14;1.49%;40;4.26%;680;72.49%;135;14.39%;52;5.54%;17;1.81%;938
NORDESTE;29;BA;293040;SERRA PRETA;6;1.01%;32;5.39%;402;67.68%;102;17.17%;41;6.9%;11;1.85%;594
NORDESTE;29;BA;293050;SERRINHA;25;1.6%;71;4.56%;1.039;66.69%;283;18.16%;124;7.96%;16;1.03%;1.558
NORDESTE;29;BA;293060;SERROLANDIA;8;0.93%;45;5.23%;592;68.84%;131;15.23%;66;7.67%;18;2.09%;860
NORDESTE;29;BA;293070;SIMOES FILHO;23;1.07%;101;4.69%;1.373;63.8%;373;17.33%;209;9.71%;73;3.39%;2.152
NORDESTE;29;BA;293075;SITIO DO MATO;14;1.48%;51;5.37%;671;70.71%;145;15.28%;54;5.69%;14;1.48%;949
NORDESTE;29;BA;293076;SITIO DO QUINTO;14;1.5%;60;6.44%;672;72.1%;118;12.66%;56;6.01%;12;1.29%;932
NORDESTE;29;BA;293077;SOBRADINHO;18;1.34%;57;4.25%;892;66.57%;238;17.76%;115;8.58%;20;1.49%;1.340
NORDESTE;29;BA;293080;SOUTO SOARES;3;0.26%;29;2.48%;806;68.95%;223;19.08%;88;7.53%;20;1.71%;1.169
NORDESTE;29;BA;293090;TABOCAS DO BREJO VELHO;16;2.24%;28;3.92%;515;72.13%;97;13.59%;50;7%;8;1.12%;714
NORDESTE;29;BA;293100;TANHACU;11;1.55%;27;3.81%;478;67.42%;116;16.36%;61;8.6%;16;2.26%;709
NORDESTE;29;BA;293105;TANQUE NOVO;14;1.02%;74;5.38%;1.011;73.53%;192;13.96%;74;5.38%;10;0.73%;1.375
NORDESTE;29;BA;293110;TANQUINHO;10;2.08%;14;2.91%;316;65.7%;86;17.88%;48;9.98%;7;1.46%;481
NORDESTE;29;BA;293120;TAPEROA;14;1.29%;49;4.5%;739;67.86%;189;17.36%;83;7.62%;15;1.38%;1.089
NORDESTE;29;BA;293130;TAPIRAMUTA;14;0.87%;51;3.16%;1.144;70.88%;262;16.23%;123;7.62%;20;1.24%;1.614
NORDESTE;29;BA;293135;TEIXEIRA DE FREITAS;111;1.76%;278;4.42%;4.181;66.44%;1.140;18.12%;488;7.75%;95;1.51%;6.293
NORDESTE;29;BA;293140;TEODORO SAMPAIO;6;1.3%;17;3.67%;297;64.15%;83;17.93%;47;10.15%;13;2.81%;463
NORDESTE;29;BA;293150;TEOFILANDIA;13;0.95%;43;3.13%;937;68.24%;273;19.88%;86;6.26%;21;1.53%;1.373
NORDESTE;29;BA;293160;TEOLANDIA;12;1.1%;29;2.66%;741;68.04%;211;19.38%;81;7.44%;15;1.38%;1.089
NORDESTE;29;BA;293170;TERRA NOVA;15;2.29%;27;4.12%;426;65.04%;112;17.1%;58;8.85%;17;2.6%;655
NORDESTE;29;BA;293180;TREMEDAL;15;1.6%;32;3.41%;650;69.3%;163;17.38%;67;7.14%;11;1.17%;938
NORDESTE;29;BA;293190;TUCANO;32;1.2%;121;4.55%;1.743;65.6%;492;18.52%;227;8.54%;42;1.58%;2.657
NORDESTE;29;BA;293200;UAUA;12;1.2%;49;4.89%;670;66.8%;182;18.15%;75;7.48%;15;1.5%;1.003
NORDESTE;29;BA;293210;UBAIRA;1;0.21%;10;2.08%;339;70.63%;68;14.17%;49;10.21%;13;2.71%;480
NORDESTE;29;BA;293220;UBAITABA;5;0.56%;33;3.69%;577;64.54%;164;18.34%;88;9.84%;27;3.02%;894
NORDESTE;29;BA;293230;UBATA;0;-;19;3.8%;343;68.6%;89;17.8%;41;8.2%;8;1.6%;500
NORDESTE;29;BA;293240;UIBAI;15;1.55%;41;4.25%;667;69.12%;154;15.96%;79;8.19%;9;0.93%;965
NORDESTE;29;BA;293245;UMBURANAS;8;0.83%;44;4.55%;668;69.15%;164;16.98%;73;7.56%;9;0.93%;966
NORDESTE;29;BA;293250;UNA;8;0.6%;45;3.38%;918;68.97%;225;16.9%;113;8.49%;22;1.65%;1.331
NORDESTE;29;BA;293260;URANDI;5;0.96%;20;3.85%;342;65.9%;95;18.3%;52;10.02%;5;0.96%;519
NORDESTE;29;BA;293270;URUCUCA;8;1.05%;23;3.01%;536;70.25%;120;15.73%;66;8.65%;10;1.31%;763
NORDESTE;29;BA;293280;UTINGA;7;0.93%;25;3.33%;489;65.11%;149;19.84%;69;9.19%;12;1.6%;751
NORDESTE;29;BA;293290;VALENCA;26;0.87%;122;4.09%;2.020;67.74%;531;17.81%;226;7.58%;57;1.91%;2.982
NORDESTE;29;BA;293300;VALENTE;5;0.85%;21;3.59%;390;66.67%;110;18.8%;46;7.86%;13;2.22%;585
NORDESTE;29;BA;293305;VARZEA DA ROCA;6;0.57%;36;3.43%;703;66.95%;210;20%;84;8%;11;1.05%;1.050
NORDESTE;29;BA;293310;VARZEA DO POCO;2;1.08%;5;2.7%;115;62.16%;46;24.86%;14;7.57%;3;1.62%;185
NORDESTE;29;BA;293315;VARZEA NOVA;10;1.02%;48;4.91%;626;64.01%;201;20.55%;73;7.46%;20;2.04%;978
NORDESTE;29;BA;293317;VARZEDO;3;0.58%;21;4.04%;330;63.46%;96;18.46%;55;10.58%;15;2.88%;520
NORDESTE;29;BA;293320;VERA CRUZ;29;1.45%;86;4.29%;1.217;60.73%;373;18.61%;222;11.08%;77;3.84%;2.004
NORDESTE;29;BA;293325;VEREDA;5;2.03%;11;4.47%;178;72.36%;37;15.04%;14;5.69%;1;0.41%;246
NORDESTE;29;BA;293330;VITORIA DA CONQUISTA;31;1.14%;114;4.18%;1.661;60.91%;568;20.83%;270;9.9%;83;3.04%;2.727
NORDESTE;29;BA;293340;WAGNER;3;0.63%;9;1.89%;314;65.83%;98;20.55%;48;10.06%;5;1.05%;477
NORDESTE;29;BA;293345;WANDERLEY;14;1.65%;37;4.36%;606;71.46%;144;16.98%;45;5.31%;2;0.24%;848
NORDESTE;29;BA;293350;WENCESLAU GUIMARAES;10;0.76%;39;2.95%;926;69.99%;235;17.76%;88;6.65%;25;1.89%;1.323
NORDESTE;29;BA;293360;XIQUE-XIQUE;40;1.6%;123;4.92%;1.754;70.1%;384;15.35%;162;6.47%;39;1.56%;2.502
TOTAL ESTADO BAHIA;;;;;7.551;1.28%;24.177;4.1%;394.951;67.04%;101.512;17.23%;47.928;8.14%;12.975;2.2%;589.094
NORDESTE;23;CE;230010;ABAIARA;10;2%;34;6.8%;311;62.2%;97;19.4%;42;8.4%;6;1.2%;500
NORDESTE;23;CE;230015;ACARAPE;10;1.5%;20;3%;415;62.31%;123;18.47%;77;11.56%;21;3.15%;666
NORDESTE;23;CE;230020;ACARAU;23;0.59%;74;1.91%;2.587;66.68%;725;18.69%;391;10.08%;80;2.06%;3.880
NORDESTE;23;CE;230030;ACOPIARA;20;0.94%;70;3.28%;1.478;69.26%;390;18.28%;142;6.65%;34;1.59%;2.134
NORDESTE;23;CE;230040;AIUABA;3;0.67%;19;4.27%;301;67.64%;81;18.2%;33;7.42%;8;1.8%;445
NORDESTE;23;CE;230050;ALCANTARAS;9;1.14%;23;2.91%;529;66.88%;152;19.22%;65;8.22%;13;1.64%;791
NORDESTE;23;CE;230060;ALTANEIRA;1;0.31%;16;4.91%;216;66.26%;60;18.4%;26;7.98%;7;2.15%;326
NORDESTE;23;CE;230070;ALTO SANTO;6;0.96%;11;1.77%;365;58.68%;143;22.99%;74;11.9%;23;3.7%;622
NORDESTE;23;CE;230075;AMONTADA;33;1.01%;105;3.21%;2.133;65.29%;637;19.5%;287;8.78%;72;2.2%;3.267
NORDESTE;23;CE;230080;ANTONINA DO NORTE;1;0.18%;21;3.69%;399;70.12%;92;16.17%;51;8.96%;5;0.88%;569
NORDESTE;23;CE;230090;APUIARES;7;1.44%;21;4.33%;330;68.04%;77;15.88%;42;8.66%;8;1.65%;485
NORDESTE;23;CE;230100;AQUIRAZ;47;0.69%;164;2.39%;3.953;57.67%;1.500;21.88%;962;14.03%;229;3.34%;6.855
NORDESTE;23;CE;230110;ARACATI;30;0.95%;84;2.66%;1.957;62.03%;684;21.68%;328;10.4%;72;2.28%;3.155
NORDESTE;23;CE;230120;ARACOIABA;15;1.1%;53;3.88%;853;62.49%;282;20.66%;134;9.82%;28;2.05%;1.365
NORDESTE;23;CE;230125;ARARENDA;4;0.54%;14;1.88%;503;67.43%;140;18.77%;65;8.71%;20;2.68%;746
NORDESTE;23;CE;230130;ARARIPE;23;1.85%;51;4.11%;800;64.52%;233;18.79%;118;9.52%;15;1.21%;1.240
NORDESTE;23;CE;230140;ARATUBA;5;0.65%;16;2.09%;504;65.97%;149;19.5%;74;9.69%;16;2.09%;764
NORDESTE;23;CE;230150;ARNEIROZ;1;1.03%;0;-;53;54.64%;30;30.93%;10;10.31%;3;3.09%;97
NORDESTE;23;CE;230160;ASSARE;29;1.85%;67;4.27%;1.037;66.09%;287;18.29%;118;7.52%;31;1.98%;1.569
NORDESTE;23;CE;230170;AURORA;13;1.8%;23;3.19%;465;64.49%;136;18.86%;64;8.88%;20;2.77%;721
NORDESTE;23;CE;230180;BAIXIO;5;2.54%;10;5.08%;124;62.94%;36;18.27%;20;10.15%;2;1.02%;197
NORDESTE;23;CE;230185;BANABUIU;8;0.68%;40;3.42%;693;59.28%;269;23.01%;136;11.63%;23;1.97%;1.169
NORDESTE;23;CE;230190;BARBALHA;25;0.75%;121;3.61%;2.201;65.6%;624;18.6%;314;9.36%;70;2.09%;3.355
NORDESTE;23;CE;230195;BARREIRA;13;1.29%;28;2.77%;581;57.52%;257;25.45%;113;11.19%;18;1.78%;1.010
NORDESTE;23;CE;230200;BARRO;8;1.03%;31;4.01%;543;70.25%;130;16.82%;56;7.24%;5;0.65%;773
NORDESTE;23;CE;230205;BARROQUINHA;11;0.98%;42;3.75%;730;65.24%;216;19.3%;105;9.38%;15;1.34%;1.119
NORDESTE;23;CE;230210;BATURITE;17;1.06%;58;3.6%;1.004;62.36%;324;20.12%;172;10.68%;35;2.17%;1.610
NORDESTE;23;CE;230220;BEBERIBE;30;0.97%;81;2.62%;1.859;60.2%;681;22.05%;350;11.33%;87;2.82%;3.088
NORDESTE;23;CE;230230;BELA CRUZ;8;0.43%;60;3.24%;1.164;62.95%;411;22.23%;180;9.73%;26;1.41%;1.849
NORDESTE;23;CE;230240;BOA VIAGEM;32;1.54%;84;4.05%;1.344;64.74%;394;18.98%;187;9.01%;35;1.69%;2.076
NORDESTE;23;CE;230250;BREJO SANTO;27;1.1%;117;4.78%;1.575;64.39%;451;18.44%;238;9.73%;38;1.55%;2.446
NORDESTE;23;CE;230260;CAMOCIM;16;0.56%;32;1.12%;1.976;69.19%;593;20.76%;201;7.04%;38;1.33%;2.856
NORDESTE;23;CE;230270;CAMPOS SALES;23;1.71%;52;3.87%;885;65.95%;226;16.84%;126;9.39%;30;2.24%;1.342
NORDESTE;23;CE;230280;CANINDE;49;1.5%;104;3.18%;2.009;61.34%;659;20.12%;370;11.3%;84;2.56%;3.275
NORDESTE;23;CE;230290;CAPISTRANO;4;0.66%;13;2.14%;393;64.74%;135;22.24%;50;8.24%;12;1.98%;607
NORDESTE;23;CE;230300;CARIDADE;11;1.19%;24;2.59%;561;60.65%;198;21.41%;104;11.24%;27;2.92%;925
NORDESTE;23;CE;230310;CARIRE;7;0.92%;25;3.29%;462;60.79%;162;21.32%;81;10.66%;23;3.03%;760
NORDESTE;23;CE;230320;CARIRIACU;16;1.06%;54;3.57%;1.079;71.41%;245;16.21%;99;6.55%;18;1.19%;1.511
NORDESTE;23;CE;230330;CARIUS;8;1.02%;39;4.96%;506;64.38%;161;20.48%;55;7%;17;2.16%;786
NORDESTE;23;CE;230340;CARNAUBAL;15;1.05%;37;2.6%;950;66.76%;292;20.52%;106;7.45%;23;1.62%;1.423
NORDESTE;23;CE;230350;CASCAVEL;14;0.53%;68;2.58%;1.787;67.92%;472;17.94%;248;9.43%;42;1.6%;2.631
NORDESTE;23;CE;230360;CATARINA;3;1.21%;8;3.24%;151;61.13%;51;20.65%;28;11.34%;6;2.43%;247
NORDESTE;23;CE;230365;CATUNDA;9;1.5%;21;3.49%;382;63.46%;124;20.6%;49;8.14%;17;2.82%;602
NORDESTE;23;CE;230370;CAUCAIA;105;0.77%;420;3.1%;8.186;60.41%;2.856;21.08%;1.607;11.86%;376;2.77%;13.550
NORDESTE;23;CE;230380;CEDRO;11;1.3%;34;4.03%;567;67.26%;149;17.67%;68;8.07%;14;1.66%;843
NORDESTE;23;CE;230390;CHAVAL;16;1.54%;39;3.75%;705;67.72%;184;17.68%;79;7.59%;18;1.73%;1.041
NORDESTE;23;CE;230393;CHORO;7;0.75%;24;2.58%;562;60.43%;213;22.9%;99;10.65%;25;2.69%;930
NORDESTE;23;CE;230395;CHOROZINHO;12;0.65%;37;2%;1.072;57.98%;475;25.69%;210;11.36%;43;2.33%;1.849
