Região;Código UF;UF;Código IBGE;Município;Magreza;;Magreza;;Eutrofia;;Sobrepeso;;Obesidade;;Obesidade Grave;;Total
NORDESTE;29;BA;290860;CONDE;23;1.37%;60;3.58%;1.078;64.32%;357;21.3%;133;7.94%;25;1.49%;1.676
NORDESTE;29;BA;290870;CONDEUBA;4;1.17%;15;4.37%;225;65.6%;57;16.62%;33;9.62%;9;2.62%;343
NORDESTE;29;BA;290880;CONTENDAS DO SINCORA;3;1.05%;10;3.51%;210;73.68%;41;14.39%;15;5.26%;6;2.11%;285
NORDESTE;29;BA;290890;CORACAO DE MARIA;8;1.55%;19;3.68%;327;63.25%;114;22.05%;42;8.12%;7;1.35%;517
NORDESTE;29;BA;290900;CORDEIROS;7;1.6%;19;4.35%;306;70.02%;69;15.79%;31;7.09%;5;1.14%;437
NORDESTE;29;BA;290910;CORIBE;2;1.2%;9;5.42%;119;71.69%;21;12.65%;9;5.42%;6;3.61%;166
NORDESTE;29;BA;290920;CORONEL JOAO SA;13;2.12%;38;6.19%;452;73.62%;86;14.01%;22;3.58%;3;0.49%;614
NORDESTE;29;BA;290930;CORRENTINA;2;0.51%;11;2.81%;254;64.8%;68;17.35%;54;13.78%;3;0.77%;392
NORDESTE;29;BA;290940;COTEGIPE;8;1.16%;36;5.2%;544;78.61%;77;11.13%;25;3.61%;2;0.29%;692
NORDESTE;29;BA;290950;CRAVOLANDIA;0;-;4;4.65%;51;59.3%;18;20.93%;13;15.12%;0;-;86
NORDESTE;29;BA;290960;CRISOPOLIS;8;0.94%;50;5.88%;573;67.41%;155;18.24%;56;6.59%;8;0.94%;850
NORDESTE;29;BA;290970;CRISTOPOLIS;8;0.98%;34;4.16%;577;70.62%;139;17.01%;53;6.49%;6;0.73%;817
NORDESTE;29;BA;290980;CRUZ DAS ALMAS;1;0.45%;5;2.25%;119;53.6%;49;22.07%;37;16.67%;11;4.95%;222
NORDESTE;29;BA;290990;CURACA;4;1.58%;10;3.95%;143;56.52%;54;21.34%;31;12.25%;11;4.35%;253
NORDESTE;29;BA;291000;DARIO MEIRA;0;-;3;2.59%;72;62.07%;27;23.28%;12;10.34%;2;1.72%;116
NORDESTE;29;BA;291005;DIAS D'AVILA;2;0.65%;4;1.31%;185;60.46%;69;22.55%;38;12.42%;8;2.61%;306
NORDESTE;29;BA;291010;DOM BASILIO;6;1.05%;21;3.69%;391;68.72%;100;17.57%;46;8.08%;5;0.88%;569
NORDESTE;29;BA;291020;DOM MACEDO COSTA;2;2.13%;4;4.26%;67;71.28%;12;12.77%;8;8.51%;1;1.06%;94
NORDESTE;29;BA;291030;ELISIO MEDRADO;0;-;1;4%;15;60%;4;16%;4;16%;1;4%;25
NORDESTE;29;BA;291040;ENCRUZILHADA;6;1.09%;12;2.18%;338;61.34%;145;26.32%;44;7.99%;6;1.09%;551
NORDESTE;29;BA;291050;ENTRE RIOS;6;1.92%;12;3.83%;194;61.98%;58;18.53%;33;10.54%;10;3.19%;313
NORDESTE;29;BA;290050;ERICO CARDOSO;8;1.59%;11;2.19%;333;66.33%;111;22.11%;32;6.37%;7;1.39%;502
NORDESTE;29;BA;291060;ESPLANADA;4;1.93%;7;3.38%;128;61.84%;47;22.71%;18;8.7%;3;1.45%;207
NORDESTE;29;BA;291070;EUCLIDES DA CUNHA;12;1.19%;24;2.38%;684;67.92%;172;17.08%;94;9.33%;21;2.09%;1.007
NORDESTE;29;BA;291072;EUNAPOLIS;5;0.72%;10;1.44%;442;63.69%;147;21.18%;70;10.09%;20;2.88%;694
NORDESTE;29;BA;291075;FATIMA;1;1.52%;9;13.64%;42;63.64%;6;9.09%;7;10.61%;1;1.52%;66
NORDESTE;29;BA;291077;FEIRA DA MATA;1;0.48%;6;2.87%;146;69.86%;47;22.49%;9;4.31%;0;-;209
NORDESTE;29;BA;291080;FEIRA DE SANTANA;147;1.46%;339;3.36%;6.241;61.93%;2.013;19.98%;1.044;10.36%;293;2.91%;10.077
NORDESTE;29;BA;291085;FILADELFIA;4;0.94%;5;1.18%;276;65.09%;91;21.46%;42;9.91%;6;1.42%;424
NORDESTE;29;BA;291090;FIRMINO ALVES;3;1.68%;5;2.79%;117;65.36%;39;21.79%;12;6.7%;3;1.68%;179
NORDESTE;29;BA;291100;FLORESTA AZUL;0;-;0;-;29;59.18%;9;18.37%;8;16.33%;3;6.12%;49
NORDESTE;29;BA;291110;FORMOSA DO RIO PRETO;5;1.49%;11;3.28%;205;61.19%;82;24.48%;29;8.66%;3;0.9%;335
NORDESTE;29;BA;291120;GANDU;7;0.93%;31;4.14%;497;66.36%;148;19.76%;53;7.08%;13;1.74%;749
NORDESTE;29;BA;291125;GAVIAO;5;3.4%;9;6.12%;99;67.35%;23;15.65%;10;6.8%;1;0.68%;147
NORDESTE;29;BA;291130;GENTIO DO OURO;6;0.99%;34;5.6%;452;74.46%;83;13.67%;30;4.94%;2;0.33%;607
NORDESTE;29;BA;291140;GLORIA;9;2.16%;8;1.92%;291;69.78%;75;17.99%;27;6.47%;7;1.68%;417
NORDESTE;29;BA;291150;GONGOGI;2;1.71%;4;3.42%;76;64.96%;22;18.8%;12;10.26%;1;0.85%;117
NORDESTE;29;BA;291160;GOVERNADOR MANGABEIRA;0;-;10;3.64%;172;62.55%;47;17.09%;43;15.64%;3;1.09%;275
NORDESTE;29;BA;291165;GUAJERU;2;0.64%;4;1.28%;215;68.69%;61;19.49%;28;8.95%;3;0.96%;313
NORDESTE;29;BA;291170;GUANAMBI;8;0.77%;36;3.46%;645;61.96%;199;19.12%;123;11.82%;30;2.88%;1.041
NORDESTE;29;BA;291180;GUARATINGA;0;-;8;4%;122;61%;44;22%;21;10.5%;5;2.5%;200
NORDESTE;29;BA;291185;HELIOPOLIS;1;0.48%;9;4.35%;154;74.4%;33;15.94%;8;3.86%;2;0.97%;207
NORDESTE;29;BA;291190;IACU;16;1.88%;35;4.1%;566;66.35%;149;17.47%;75;8.79%;12;1.41%;853
NORDESTE;29;BA;291200;IBIASSUCE;1;0.37%;12;4.4%;187;68.5%;49;17.95%;18;6.59%;6;2.2%;273
NORDESTE;29;BA;291210;IBICARAI;2;0.57%;13;3.7%;218;62.11%;72;20.51%;35;9.97%;11;3.13%;351
NORDESTE;29;BA;291220;IBICOARA;6;1%;18;2.99%;404;67%;135;22.39%;36;5.97%;4;0.66%;603
NORDESTE;29;BA;291230;IBICUI;5;1.99%;13;5.18%;153;60.96%;51;20.32%;24;9.56%;5;1.99%;251
NORDESTE;29;BA;291240;IBIPEBA;5;1.62%;12;3.88%;188;60.84%;53;17.15%;43;13.92%;8;2.59%;309
NORDESTE;29;BA;291250;IBIPITANGA;4;0.55%;30;4.1%;513;70.18%;124;16.96%;52;7.11%;8;1.09%;731
NORDESTE;29;BA;291260;IBIQUERA;2;0.69%;5;1.72%;199;68.38%;56;19.24%;22;7.56%;7;2.41%;291
NORDESTE;29;BA;291270;IBIRAPITANGA;1;0.43%;15;6.49%;153;66.23%;46;19.91%;13;5.63%;3;1.3%;231
NORDESTE;29;BA;291280;IBIRAPUA;0;-;1;2.22%;20;44.44%;13;28.89%;5;11.11%;6;13.33%;45
NORDESTE;29;BA;291290;IBIRATAIA;4;1.5%;5;1.88%;160;60.15%;59;22.18%;32;12.03%;6;2.26%;266
NORDESTE;29;BA;291300;IBITIARA;6;0.74%;25;3.06%;590;72.3%;133;16.3%;55;6.74%;7;0.86%;816
NORDESTE;29;BA;291310;IBITITA;2;0.84%;4;1.69%;161;67.93%;52;21.94%;15;6.33%;3;1.27%;237
NORDESTE;29;BA;291320;IBOTIRAMA;10;1.56%;18;2.81%;407;63.49%;119;18.56%;67;10.45%;20;3.12%;641
NORDESTE;29;BA;291330;ICHU;6;1.95%;11;3.58%;218;71.01%;51;16.61%;16;5.21%;5;1.63%;307
NORDESTE;29;BA;291340;IGAPORA;2;0.45%;13;2.93%;306;68.92%;82;18.47%;35;7.88%;6;1.35%;444
NORDESTE;29;BA;291345;IGRAPIUNA;11;1.65%;22;3.3%;477;71.51%;107;16.04%;44;6.6%;6;0.9%;667
NORDESTE;29;BA;291350;IGUAI;8;1.51%;10;1.89%;351;66.23%;108;20.38%;48;9.06%;5;0.94%;530
NORDESTE;29;BA;291360;ILHEUS;32;2.16%;64;4.32%;997;67.36%;245;16.55%;112;7.57%;30;2.03%;1.480
NORDESTE;29;BA;291370;INHAMBUPE;12;1.09%;36;3.28%;729;66.39%;208;18.94%;95;8.65%;18;1.64%;1.098
NORDESTE;29;BA;291380;IPECAETA;10;1.21%;27;3.28%;572;69.42%;161;19.54%;51;6.19%;3;0.36%;824
NORDESTE;29;BA;291390;IPIAU;12;1.19%;36;3.56%;636;62.97%;211;20.89%;95;9.41%;20;1.98%;1.010
NORDESTE;29;BA;291400;IPIRA;35;1.53%;115;5.01%;1.634;71.2%;360;15.69%;125;5.45%;26;1.13%;2.295
NORDESTE;29;BA;291410;IPUPIARA;7;2.24%;15;4.79%;191;61.02%;61;19.49%;32;10.22%;7;2.24%;313
NORDESTE;29;BA;291420;IRAJUBA;3;0.87%;19;5.52%;238;69.19%;52;15.12%;29;8.43%;3;0.87%;344
NORDESTE;29;BA;291430;IRAMAIA;6;1.71%;13;3.71%;239;68.29%;66;18.86%;24;6.86%;2;0.57%;350
NORDESTE;29;BA;291440;IRAQUARA;2;0.46%;7;1.6%;281;64.3%;94;21.51%;45;10.3%;8;1.83%;437
NORDESTE;29;BA;291450;IRARA;5;1.53%;16;4.89%;201;61.47%;66;20.18%;31;9.48%;8;2.45%;327
NORDESTE;29;BA;291460;IRECE;25;1.02%;79;3.23%;1.662;67.92%;455;18.59%;190;7.76%;36;1.47%;2.447
NORDESTE;29;BA;291465;ITABELA;13;1.28%;25;2.46%;684;67.26%;204;20.06%;73;7.18%;18;1.77%;1.017
NORDESTE;29;BA;291470;ITABERABA;5;0.17%;27;0.94%;2.231;77.93%;497;17.36%;79;2.76%;24;0.84%;2.863
NORDESTE;29;BA;291480;ITABUNA;19;1%;63;3.33%;1.198;63.32%;385;20.35%;190;10.04%;37;1.96%;1.892
NORDESTE;29;BA;291490;ITACARE;8;1.67%;10;2.08%;324;67.5%;73;15.21%;45;9.38%;20;4.17%;480
NORDESTE;29;BA;291500;ITAETE;0;-;0;-;25;58.14%;11;25.58%;6;13.95%;1;2.33%;43
NORDESTE;29;BA;291510;ITAGI;15;3.24%;15;3.24%;309;66.74%;81;17.49%;36;7.78%;7;1.51%;463
NORDESTE;29;BA;291520;ITAGIBA;3;0.68%;11;2.51%;297;67.81%;78;17.81%;38;8.68%;11;2.51%;438
NORDESTE;29;BA;291530;ITAGIMIRIM;3;2.04%;6;4.08%;100;68.03%;24;16.33%;14;9.52%;0;-;147
NORDESTE;29;BA;291535;ITAGUACU DA BAHIA;13;2.16%;26;4.33%;434;72.21%;88;14.64%;33;5.49%;7;1.16%;601
NORDESTE;29;BA;291540;ITAJU DO COLONIA;3;1.15%;5;1.91%;166;63.36%;58;22.14%;22;8.4%;8;3.05%;262
NORDESTE;29;BA;291550;ITAJUIPE;5;1.95%;3;1.17%;158;61.72%;60;23.44%;23;8.98%;7;2.73%;256
NORDESTE;29;BA;291560;ITAMARAJU;19;1.68%;49;4.34%;734;65.01%;239;21.17%;68;6.02%;20;1.77%;1.129
NORDESTE;29;BA;291570;ITAMARI;2;0.84%;6;2.51%;160;66.95%;49;20.5%;20;8.37%;2;0.84%;239
NORDESTE;29;BA;291580;ITAMBE;3;0.97%;15;4.85%;197;63.75%;69;22.33%;23;7.44%;2;0.65%;309
NORDESTE;29;BA;291590;ITANAGRA;1;0.35%;7;2.44%;195;67.94%;52;18.12%;28;9.76%;4;1.39%;287
NORDESTE;29;BA;291600;ITANHEM;0;-;4;3.45%;72;62.07%;27;23.28%;10;8.62%;3;2.59%;116
NORDESTE;29;BA;291610;ITAPARICA;0;-;0;-;18;48.65%;4;10.81%;11;29.73%;4;10.81%;37
NORDESTE;29;BA;291620;ITAPE;5;1.18%;30;7.11%;275;65.17%;72;17.06%;34;8.06%;6;1.42%;422
NORDESTE;29;BA;291630;ITAPEBI;5;1.04%;22;4.56%;304;63.07%;87;18.05%;52;10.79%;12;2.49%;482
NORDESTE;29;BA;291640;ITAPETINGA;11;1.08%;48;4.72%;675;66.44%;194;19.09%;70;6.89%;18;1.77%;1.016
NORDESTE;29;BA;291650;ITAPICURU;15;1.82%;33;4%;593;71.97%;129;15.66%;47;5.7%;7;0.85%;824
NORDESTE;29;BA;291660;ITAPITANGA;6;3.35%;7;3.91%;109;60.89%;36;20.11%;16;8.94%;5;2.79%;179
NORDESTE;29;BA;291670;ITAQUARA;2;0.63%;6;1.89%;230;72.33%;53;16.67%;26;8.18%;1;0.31%;318
NORDESTE;29;BA;291680;ITARANTIM;4;1.2%;14;4.22%;209;62.95%;62;18.67%;32;9.64%;11;3.31%;332
NORDESTE;29;BA;291685;ITATIM;6;0.57%;14;1.33%;736;70.16%;195;18.59%;77;7.34%;21;2%;1.049
NORDESTE;29;BA;291690;ITIRUCU;0;-;3;3.85%;56;71.79%;10;12.82%;7;8.97%;2;2.56%;78
NORDESTE;29;BA;291700;ITIUBA;19;1.16%;55;3.37%;1.145;70.07%;277;16.95%;116;7.1%;22;1.35%;1.634
NORDESTE;29;BA;291710;ITORORO;13;1.96%;22;3.32%;400;60.42%;139;21%;68;10.27%;20;3.02%;662
NORDESTE;29;BA;291720;ITUACU;3;1.76%;3;1.76%;107;62.94%;41;24.12%;12;7.06%;4;2.35%;170
NORDESTE;29;BA;291730;ITUBERA;0;-;0;-;23;48.94%;18;38.3%;5;10.64%;1;2.13%;47
NORDESTE;29;BA;291733;IUIU;5;1.58%;19;5.99%;189;59.62%;73;23.03%;26;8.2%;5;1.58%;317
NORDESTE;29;BA;291735;JABORANDI;5;1.17%;14;3.26%;279;65.03%;82;19.11%;44;10.26%;5;1.17%;429
NORDESTE;29;BA;291740;JACARACI;9;1.73%;23;4.43%;377;72.64%;77;14.84%;29;5.59%;4;0.77%;519
NORDESTE;29;BA;291750;JACOBINA;41;1.49%;101;3.68%;1.829;66.68%;523;19.07%;211;7.69%;38;1.39%;2.743
NORDESTE;29;BA;291760;JAGUAQUARA;3;0.56%;10;1.87%;360;67.16%;112;20.9%;43;8.02%;8;1.49%;536
NORDESTE;29;BA;291770;JAGUARARI;14;1.8%;31;3.98%;537;68.93%;146;18.74%;43;5.52%;8;1.03%;779
NORDESTE;29;BA;291780;JAGUARIPE;1;0.26%;11;2.87%;260;67.89%;69;18.02%;36;9.4%;6;1.57%;383
NORDESTE;29;BA;291790;JANDAIRA;9;1.63%;17;3.09%;369;66.97%;112;20.33%;39;7.08%;5;0.91%;551
NORDESTE;29;BA;291800;JEQUIE;37;1.64%;94;4.16%;1.484;65.75%;420;18.61%;184;8.15%;38;1.68%;2.257
NORDESTE;29;BA;291810;JEREMOABO;15;1.56%;25;2.6%;629;65.52%;181;18.85%;89;9.27%;21;2.19%;960
NORDESTE;29;BA;291820;JIQUIRICA;8;0.9%;15;1.68%;580;64.95%;207;23.18%;71;7.95%;12;1.34%;893
NORDESTE;29;BA;291830;JITAUNA;3;1.26%;9;3.78%;152;63.87%;48;20.17%;22;9.24%;4;1.68%;238
NORDESTE;29;BA;291835;JOAO DOURADO;7;0.92%;26;3.42%;504;66.32%;138;18.16%;73;9.61%;12;1.58%;760
NORDESTE;29;BA;291840;JUAZEIRO;45;1.55%;115;3.95%;1.824;62.64%;578;19.85%;293;10.06%;57;1.96%;2.912
NORDESTE;29;BA;291845;JUCURUCU;9;2.04%;12;2.71%;305;69%;81;18.33%;33;7.47%;2;0.45%;442
NORDESTE;29;BA;291850;JUSSARA;11;1.45%;23;3.02%;544;71.48%;129;16.95%;46;6.04%;8;1.05%;761
NORDESTE;29;BA;291855;JUSSARI;0;-;0;-;9;39.13%;8;34.78%;3;13.04%;3;13.04%;23
NORDESTE;29;BA;291860;JUSSIAPE;5;1.95%;5;1.95%;173;67.58%;48;18.75%;20;7.81%;5;1.95%;256
NORDESTE;29;BA;291870;LAFAIETE COUTINHO;0;-;2;4.76%;25;59.52%;8;19.05%;6;14.29%;1;2.38%;42
NORDESTE;29;BA;291875;LAGOA REAL;7;1.44%;24;4.95%;335;69.07%;82;16.91%;23;4.74%;14;2.89%;485
NORDESTE;29;BA;291880;LAJE;4;0.99%;14;3.47%;273;67.74%;80;19.85%;31;7.69%;1;0.25%;403
NORDESTE;29;BA;291890;LAJEDAO;0;-;3;6%;32;64%;11;22%;4;8%;0;-;50
NORDESTE;29;BA;291900;LAJEDINHO;0;-;3;4.69%;47;73.44%;8;12.5%;5;7.81%;1;1.56%;64
NORDESTE;29;BA;291905;LAJEDO DO TABOCAL;2;0.8%;9;3.61%;181;72.69%;44;17.67%;11;4.42%;2;0.8%;249
NORDESTE;29;BA;291910;LAMARAO;0;-;4;5.13%;43;55.13%;25;32.05%;5;6.41%;1;1.28%;78
NORDESTE;29;BA;291915;LAPAO;19;0.92%;64;3.11%;1.412;68.61%;393;19.1%;147;7.14%;23;1.12%;2.058
NORDESTE;29;BA;291920;LAURO DE FREITAS;25;1.65%;68;4.48%;919;60.54%;284;18.71%;167;11%;55;3.62%;1.518
NORDESTE;29;BA;291930;LENCOIS;1;0.6%;4;2.38%;109;64.88%;35;20.83%;16;9.52%;3;1.79%;168
NORDESTE;29;BA;291940;LICINIO DE ALMEIDA;1;1.85%;4;7.41%;33;61.11%;9;16.67%;6;11.11%;1;1.85%;54
NORDESTE;29;BA;291950;LIVRAMENTO DE NOSSA SENHORA;7;0.72%;38;3.9%;683;70.12%;175;17.97%;57;5.85%;14;1.44%;974
NORDESTE;29;BA;291955;LUIS EDUARDO MAGALHAES;7;0.77%;20;2.21%;576;63.51%;197;21.72%;89;9.81%;18;1.98%;907
NORDESTE;29;BA;291960;MACAJUBA;2;1.27%;2;1.27%;91;57.59%;37;23.42%;19;12.03%;7;4.43%;158
NORDESTE;29;BA;291970;MACARANI;1;1.3%;0;-;42;54.55%;21;27.27%;12;15.58%;1;1.3%;77
NORDESTE;29;BA;291980;MACAUBAS;16;1.37%;38;3.25%;851;72.8%;178;15.23%;72;6.16%;14;1.2%;1.169
NORDESTE;29;BA;291990;MACURURE;2;0.88%;1;0.44%;173;76.55%;38;16.81%;11;4.87%;1;0.44%;226
NORDESTE;29;BA;291992;MADRE DE DEUS;8;10.39%;6;7.79%;42;54.55%;8;10.39%;10;12.99%;3;3.9%;77
NORDESTE;29;BA;291995;MAETINGA;5;1.72%;10;3.44%;211;72.51%;44;15.12%;18;6.19%;3;1.03%;291
NORDESTE;29;BA;292000;MAIQUINIQUE;0;-;0;-;44;65.67%;21;31.34%;1;1.49%;1;1.49%;67
NORDESTE;29;BA;292010;MAIRI;13;1.08%;55;4.56%;947;78.46%;139;11.52%;46;3.81%;7;0.58%;1.207
NORDESTE;29;BA;292020;MALHADA;6;0.88%;37;5.42%;485;71.01%;100;14.64%;44;6.44%;11;1.61%;683
NORDESTE;29;BA;292030;MALHADA DE PEDRAS;0;-;0;-;1;50%;1;50%;0;-;0;-;2
NORDESTE;29;BA;292040;MANOEL VITORINO;11;1.57%;31;4.43%;467;66.71%;131;18.71%;51;7.29%;9;1.29%;700
NORDESTE;29;BA;292045;MANSIDAO;12;1.85%;38;5.87%;506;78.21%;74;11.44%;17;2.63%;0;-;647
NORDESTE;29;BA;292050;MARACAS;0;-;5;2.55%;129;65.82%;37;18.88%;19;9.69%;6;3.06%;196
NORDESTE;29;BA;292060;MARAGOGIPE;1;0.44%;8;3.54%;136;60.18%;51;22.57%;26;11.5%;4;1.77%;226
NORDESTE;29;BA;292070;MARAU;10;1%;31;3.11%;660;66.13%;218;21.84%;70;7.01%;9;0.9%;998
NORDESTE;29;BA;292080;MARCIONILIO SOUZA;7;1.39%;13;2.59%;327;65.14%;92;18.33%;40;7.97%;23;4.58%;502
NORDESTE;29;BA;292090;MASCOTE;0;-;5;5.95%;55;65.48%;19;22.62%;4;4.76%;1;1.19%;84
NORDESTE;29;BA;292100;MATA DE SAO JOAO;4;1.86%;6;2.79%;135;62.79%;41;19.07%;21;9.77%;8;3.72%;215
NORDESTE;29;BA;292105;MATINA;3;1.32%;7;3.07%;148;64.91%;46;20.18%;16;7.02%;8;3.51%;228
NORDESTE;29;BA;292110;MEDEIROS NETO;0;-;2;1.18%;103;60.59%;39;22.94%;24;14.12%;2;1.18%;170
NORDESTE;29;BA;292120;MIGUEL CALMON;15;1.85%;42;5.18%;518;63.87%;164;20.22%;58;7.15%;14;1.73%;811
NORDESTE;29;BA;292130;MILAGRES;2;0.72%;6;2.15%;197;70.61%;52;18.64%;19;6.81%;3;1.08%;279
NORDESTE;29;BA;292140;MIRANGABA;3;0.45%;18;2.71%;462;69.47%;125;18.8%;49;7.37%;8;1.2%;665
NORDESTE;29;BA;292145;MIRANTE;6;1.35%;16;3.6%;318;71.46%;78;17.53%;24;5.39%;3;0.67%;445
NORDESTE;29;BA;292150;MONTE SANTO;0;-;7;2.48%;177;62.77%;61;21.63%;33;11.7%;4;1.42%;282
NORDESTE;29;BA;292160;MORPARA;4;0.96%;16;3.84%;273;65.47%;92;22.06%;29;6.95%;3;0.72%;417
NORDESTE;29;BA;292170;MORRO DO CHAPEU;14;0.87%;56;3.49%;1.144;71.23%;277;17.25%;95;5.92%;20;1.25%;1.606
NORDESTE;29;BA;292180;MORTUGABA;0;-;3;3.33%;63;70%;16;17.78%;4;4.44%;4;4.44%;90
NORDESTE;29;BA;292190;MUCUGE;3;0.72%;12;2.88%;268;64.42%;95;22.84%;32;7.69%;6;1.44%;416
NORDESTE;29;BA;292200;MUCURI;5;0.41%;31;2.53%;802;65.42%;242;19.74%;122;9.95%;24;1.96%;1.226
NORDESTE;29;BA;292205;MULUNGU DO MORRO;1;0.68%;3;2.05%;92;63.01%;31;21.23%;16;10.96%;3;2.05%;146
NORDESTE;29;BA;292210;MUNDO NOVO;8;1.02%;24;3.07%;525;67.05%;150;19.16%;60;7.66%;16;2.04%;783
NORDESTE;29;BA;292220;MUNIZ FERREIRA;6;1.75%;12;3.51%;219;64.04%;70;20.47%;28;8.19%;7;2.05%;342
NORDESTE;29;BA;292225;MUQUEM DE SAO FRANCISCO;1;0.61%;3;1.83%;100;60.98%;38;23.17%;18;10.98%;4;2.44%;164
NORDESTE;29;BA;292230;MURITIBA;4;2.5%;6;3.75%;89;55.63%;39;24.38%;19;11.88%;3;1.88%;160
NORDESTE;29;BA;292240;MUTUIPE;2;0.68%;7;2.4%;196;67.12%;59;20.21%;23;7.88%;5;1.71%;292
NORDESTE;29;BA;292250;NAZARE;0;-;2;1.72%;70;60.34%;28;24.14%;16;13.79%;0;-;116
NORDESTE;29;BA;292260;NILO PECANHA;10;0.82%;45;3.68%;864;70.7%;220;18%;74;6.06%;9;0.74%;1.222
NORDESTE;29;BA;292265;NORDESTINA;12;1.52%;26;3.3%;530;67.17%;149;18.88%;61;7.73%;11;1.39%;789
NORDESTE;29;BA;292270;NOVA CANAA;2;0.55%;7;1.94%;238;65.93%;68;18.84%;40;11.08%;6;1.66%;361
NORDESTE;29;BA;292273;NOVA FATIMA;0;-;3;2.04%;99;67.35%;28;19.05%;12;8.16%;5;3.4%;147
NORDESTE;29;BA;292275;NOVA IBIA;5;1.19%;14;3.34%;272;64.92%;80;19.09%;40;9.55%;8;1.91%;419
NORDESTE;29;BA;292280;NOVA ITARANA;7;1.46%;15;3.13%;357;74.38%;76;15.83%;25;5.21%;0;-;480
NORDESTE;29;BA;292285;NOVA REDENCAO;6;2.3%;13;4.98%;183;70.11%;41;15.71%;16;6.13%;2;0.77%;261
NORDESTE;29;BA;292290;NOVA SOURE;36;2.47%;87;5.97%;1.016;69.68%;208;14.27%;90;6.17%;21;1.44%;1.458
NORDESTE;29;BA;292300;NOVA VICOSA;6;0.9%;17;2.56%;408;61.45%;174;26.2%;47;7.08%;12;1.81%;664
NORDESTE;29;BA;292303;NOVO HORIZONTE;2;0.25%;17;2.12%;533;66.46%;169;21.07%;70;8.73%;11;1.37%;802
NORDESTE;29;BA;292305;NOVO TRIUNFO;2;1.18%;5;2.96%;99;58.58%;46;27.22%;16;9.47%;1;0.59%;169
NORDESTE;29;BA;292310;OLINDINA;6;1.36%;19;4.32%;291;66.14%;78;17.73%;40;9.09%;6;1.36%;440
NORDESTE;29;BA;292320;OLIVEIRA DOS BREJINHOS;10;0.88%;43;3.78%;724;63.56%;174;15.28%;56;4.92%;132;11.59%;1.139
NORDESTE;29;BA;292330;OURICANGAS;1;3.23%;0;-;20;64.52%;5;16.13%;3;9.68%;2;6.45%;31
NORDESTE;29;BA;292335;OUROLANDIA;3;0.79%;15;3.95%;246;64.74%;74;19.47%;32;8.42%;10;2.63%;380
NORDESTE;29;BA;292340;PALMAS DE MONTE ALTO;10;0.96%;53;5.08%;689;66.06%;203;19.46%;77;7.38%;11;1.05%;1.043
NORDESTE;29;BA;292350;PALMEIRAS;3;0.59%;22;4.33%;343;67.52%;98;19.29%;39;7.68%;3;0.59%;508
NORDESTE;29;BA;292360;PARAMIRIM;10;1.86%;28;5.21%;384;71.51%;81;15.08%;28;5.21%;6;1.12%;537
NORDESTE;29;BA;292370;PARATINGA;2;0.8%;7;2.8%;168;67.2%;44;17.6%;22;8.8%;7;2.8%;250
NORDESTE;29;BA;292380;PARIPIRANGA;9;1.98%;18;3.96%;308;67.69%;84;18.46%;30;6.59%;6;1.32%;455
NORDESTE;29;BA;292390;PAU BRASIL;1;0.83%;2;1.67%;66;55%;37;30.83%;13;10.83%;1;0.83%;120
NORDESTE;29;BA;292400;PAULO AFONSO;4;0.46%;23;2.67%;452;52.44%;218;25.29%;126;14.62%;39;4.52%;862
NORDESTE;29;BA;292405;PE DE SERRA;4;3.85%;4;3.85%;57;54.81%;22;21.15%;15;14.42%;2;1.92%;104
NORDESTE;29;BA;292410;PEDRAO;0;-;4;10%;32;80%;4;10%;0;-;0;-;40
NORDESTE;29;BA;292420;PEDRO ALEXANDRE;6;1%;27;4.49%;427;70.93%;98;16.28%;39;6.48%;5;0.83%;602
NORDESTE;29;BA;292430;PIATA;1;0.4%;8;3.21%;166;66.67%;46;18.47%;22;8.84%;6;2.41%;249
NORDESTE;29;BA;292440;PILAO ARCADO;23;2.44%;36;3.83%;650;69.08%;171;18.17%;54;5.74%;7;0.74%;941
NORDESTE;29;BA;292450;PINDAI;3;4.84%;3;4.84%;34;54.84%;15;24.19%;6;9.68%;1;1.61%;62
NORDESTE;29;BA;292460;PINDOBACU;7;2.35%;7;2.35%;185;62.08%;65;21.81%;26;8.72%;8;2.68%;298
NORDESTE;29;BA;292465;PINTADAS;3;1.99%;2;1.32%;101;66.89%;24;15.89%;18;11.92%;3;1.99%;151
NORDESTE;29;BA;292467;PIRAI DO NORTE;4;2.25%;12;6.74%;119;66.85%;31;17.42%;12;6.74%;0;-;178
NORDESTE;29;BA;292470;PIRIPA;0;-;2;1.47%;80;58.82%;35;25.74%;13;9.56%;6;4.41%;136
NORDESTE;29;BA;292480;PIRITIBA;0;-;4;2.96%;91;67.41%;25;18.52%;11;8.15%;4;2.96%;135
NORDESTE;29;BA;292490;PLANALTINO;1;0.4%;12;4.82%;177;71.08%;38;15.26%;13;5.22%;8;3.21%;249
NORDESTE;29;BA;292500;PLANALTO;4;1.68%;8;3.36%;150;63.03%;50;21.01%;21;8.82%;5;2.1%;238
NORDESTE;29;BA;292510;POCOES;24;1.36%;62;3.51%;1.204;68.14%;349;19.75%;112;6.34%;16;0.91%;1.767
NORDESTE;29;BA;292520;POJUCA;3;0.97%;12;3.9%;184;59.74%;65;21.1%;32;10.39%;12;3.9%;308
NORDESTE;29;BA;292525;PONTO NOVO;1;0.78%;2;1.56%;75;58.59%;34;26.56%;11;8.59%;5;3.91%;128
